"tick","Provider Population"
1.0,1
2.0,2
3.0,3
4.0,4
5.0,4
6.0,4
7.0,4
8.0,5
9.0,5
10.0,5
11.0,6
12.0,6
13.0,7
14.0,8
15.0,9
16.0,10
17.0,10
18.0,11
19.0,12
20.0,13
21.0,14
22.0,15
23.0,15
24.0,15
25.0,16
26.0,16
27.0,16
28.0,17
29.0,18
30.0,18
31.0,18
32.0,19
33.0,19
34.0,20
35.0,21
36.0,21
37.0,22
38.0,23
39.0,24
40.0,24
41.0,25
42.0,26
43.0,26
44.0,27
45.0,28
46.0,28
47.0,29
48.0,29
49.0,29
50.0,30
51.0,31
52.0,32
53.0,33
54.0,33
55.0,34
56.0,34
57.0,35
58.0,36
59.0,36
60.0,36
61.0,36
62.0,37
63.0,38
64.0,39
65.0,39
66.0,40
67.0,41
68.0,41
69.0,42
70.0,43
71.0,43
72.0,44
73.0,45
74.0,46
75.0,47
76.0,48
77.0,49
78.0,49
79.0,50
80.0,51
81.0,51
82.0,51
83.0,51
84.0,52
85.0,53
86.0,53
87.0,53
88.0,54
89.0,53
90.0,53
91.0,54
92.0,55
93.0,55
94.0,56
95.0,57
96.0,58
97.0,59
98.0,60
99.0,61
100.0,60
101.0,60
102.0,60
103.0,60
104.0,61
105.0,61
106.0,62
107.0,62
108.0,62
109.0,63
110.0,63
111.0,63
112.0,64
113.0,64
114.0,65
115.0,66
116.0,66
117.0,67
118.0,67
119.0,66
120.0,66
121.0,64
122.0,64
123.0,65
124.0,65
125.0,65
126.0,65
127.0,66
128.0,66
129.0,66
130.0,67
131.0,67
132.0,67
133.0,67
134.0,68
135.0,68
136.0,69
137.0,70
138.0,71
139.0,72
140.0,73
141.0,72
142.0,72
143.0,73
144.0,73
145.0,73
146.0,73
147.0,73
148.0,73
149.0,74
150.0,75
151.0,76
152.0,77
153.0,77
154.0,77
155.0,77
156.0,77
157.0,78
158.0,79
159.0,80
160.0,81
161.0,82
162.0,82
163.0,83
164.0,83
165.0,83
166.0,84
167.0,84
168.0,84
169.0,85
170.0,84
171.0,84
172.0,84
173.0,84
174.0,84
175.0,85
176.0,85
177.0,85
178.0,86
179.0,87
180.0,88
181.0,89
182.0,88
183.0,89
184.0,90
185.0,90
186.0,90
187.0,91
188.0,92
189.0,92
190.0,93
191.0,94
192.0,95
193.0,96
194.0,96
195.0,96
196.0,96
197.0,97
198.0,98
199.0,99
200.0,100
201.0,101
202.0,102
203.0,103
204.0,103
205.0,104
206.0,105
207.0,105
208.0,106
209.0,107
210.0,107
211.0,108
212.0,108
213.0,108
214.0,109
215.0,110
216.0,111
217.0,112
218.0,112
219.0,113
220.0,113
221.0,114
222.0,114
223.0,115
224.0,116
225.0,117
226.0,117
227.0,117
228.0,118
229.0,119
230.0,120
231.0,121
232.0,121
233.0,122
234.0,123
235.0,123
236.0,122
237.0,123
238.0,124
239.0,124
240.0,124
241.0,124
242.0,125
243.0,125
244.0,125
245.0,126
246.0,127
247.0,128
248.0,129
249.0,129
250.0,130
251.0,131
252.0,132
253.0,133
254.0,134
255.0,135
256.0,135
257.0,136
258.0,136
259.0,137
260.0,138
261.0,139
262.0,140
263.0,141
264.0,142
265.0,143
266.0,144
267.0,144
268.0,145
269.0,145
270.0,146
271.0,147
272.0,147
273.0,147
274.0,148
275.0,149
276.0,150
277.0,151
278.0,152
279.0,152
280.0,152
281.0,152
282.0,153
283.0,154
284.0,155
285.0,156
286.0,157
287.0,157
288.0,158
289.0,158
290.0,158
291.0,159
292.0,159
293.0,159
294.0,160
295.0,161
296.0,161
297.0,162
298.0,162
299.0,162
300.0,162
301.0,162
302.0,162
303.0,162
304.0,162
305.0,163
306.0,164
307.0,164
308.0,165
309.0,165
310.0,166
311.0,167
312.0,168
313.0,169
314.0,170
315.0,171
316.0,171
317.0,171
318.0,172
319.0,172
320.0,173
321.0,174
322.0,175
323.0,175
324.0,176
325.0,176
326.0,177
327.0,177
328.0,178
329.0,178
330.0,179
331.0,180
332.0,180
333.0,181
334.0,182
335.0,183
336.0,182
337.0,183
338.0,184
339.0,185
340.0,186
341.0,187
342.0,188
343.0,189
344.0,189
345.0,188
346.0,189
347.0,189
348.0,190
349.0,189
350.0,189
351.0,190
352.0,191
353.0,192
354.0,193
355.0,193
356.0,194
357.0,195
358.0,195
359.0,196
360.0,197
361.0,198
362.0,199
363.0,199
364.0,200
365.0,200
366.0,201
367.0,202
368.0,203
369.0,204
370.0,205
371.0,206
372.0,206
373.0,207
374.0,208
375.0,209
376.0,210
377.0,211
378.0,211
379.0,212
380.0,212
381.0,213
382.0,214
383.0,215
384.0,216
385.0,216
386.0,216
387.0,216
388.0,217
389.0,217
390.0,218
391.0,219
392.0,219
393.0,220
394.0,221
395.0,222
396.0,223
397.0,224
398.0,225
399.0,226
400.0,226
401.0,227
402.0,227
403.0,227
404.0,228
405.0,229
406.0,230
407.0,231
408.0,231
409.0,232
410.0,232
411.0,233
412.0,234
413.0,235
414.0,236
415.0,237
416.0,237
417.0,238
418.0,239
419.0,239
420.0,239
421.0,240
422.0,241
423.0,242
424.0,242
425.0,242
426.0,243
427.0,243
428.0,244
429.0,245
430.0,245
431.0,245
432.0,246
433.0,247
434.0,247
435.0,248
436.0,249
437.0,249
438.0,249
439.0,250
440.0,250
441.0,250
442.0,251
443.0,252
444.0,251
445.0,252
446.0,253
447.0,253
448.0,254
449.0,255
450.0,255
451.0,256
452.0,256
453.0,256
454.0,257
455.0,258
456.0,259
457.0,259
458.0,260
459.0,261
460.0,261
461.0,262
462.0,263
463.0,264
464.0,263
465.0,262
466.0,263
467.0,264
468.0,265
469.0,263
470.0,264
471.0,264
472.0,264
473.0,265
474.0,266
475.0,265
476.0,266
477.0,267
478.0,268
479.0,269
480.0,270
481.0,270
482.0,271
483.0,271
484.0,271
485.0,272
486.0,271
487.0,271
488.0,271
489.0,272
490.0,272
491.0,272
492.0,272
493.0,272
494.0,272
495.0,273
496.0,274
497.0,275
498.0,274
499.0,275
500.0,274
501.0,275
502.0,275
503.0,276
504.0,277
505.0,277
506.0,277
507.0,278
508.0,279
509.0,280
510.0,281
511.0,282
512.0,283
513.0,283
514.0,284
515.0,284
516.0,284
517.0,285
518.0,286
519.0,286
520.0,285
521.0,285
522.0,285
523.0,286
524.0,286
525.0,285
526.0,286
527.0,287
528.0,288
529.0,288
530.0,289
531.0,289
532.0,290
533.0,290
534.0,291
535.0,291
536.0,291
537.0,292
538.0,293
539.0,292
540.0,292
541.0,293
542.0,293
543.0,294
544.0,294
545.0,294
546.0,294
547.0,295
548.0,295
549.0,296
550.0,295
551.0,295
552.0,295
553.0,296
554.0,297
555.0,298
556.0,298
557.0,299
558.0,300
559.0,300
560.0,300
561.0,301
562.0,301
563.0,302
564.0,302
565.0,303
566.0,304
567.0,304
568.0,304
569.0,304
570.0,304
571.0,304
572.0,304
573.0,304
574.0,305
575.0,305
576.0,306
577.0,307
578.0,307
579.0,307
580.0,307
581.0,306
582.0,307
583.0,307
584.0,307
585.0,308
586.0,309
587.0,309
588.0,309
589.0,310
590.0,310
591.0,310
592.0,311
593.0,311
594.0,312
595.0,313
596.0,314
597.0,315
598.0,316
599.0,316
600.0,317
601.0,318
602.0,318
603.0,318
604.0,318
605.0,319
606.0,319
607.0,320
608.0,321
609.0,322
610.0,323
611.0,323
612.0,324
613.0,325
614.0,325
615.0,326
616.0,327
617.0,328
618.0,329
619.0,329
620.0,330
621.0,330
622.0,331
623.0,332
624.0,333
625.0,332
626.0,333
627.0,334
628.0,335
629.0,334
630.0,335
631.0,334
632.0,334
633.0,335
634.0,336
635.0,337
636.0,338
637.0,338
638.0,339
639.0,340
640.0,339
641.0,340
642.0,340
643.0,341
644.0,341
645.0,342
646.0,343
647.0,343
648.0,344
649.0,345
650.0,345
651.0,345
652.0,346
653.0,346
654.0,346
655.0,347
656.0,348
657.0,349
658.0,350
659.0,351
660.0,352
661.0,353
662.0,353
663.0,353
664.0,354
665.0,355
666.0,356
667.0,357
668.0,357
669.0,358
670.0,359
671.0,360
672.0,361
673.0,362
674.0,363
675.0,364
676.0,364
677.0,365
678.0,366
679.0,366
680.0,367
681.0,368
682.0,368
683.0,369
684.0,369
685.0,370
686.0,371
687.0,372
688.0,373
689.0,374
690.0,375
691.0,376
692.0,377
693.0,376
694.0,377
695.0,378
696.0,378
697.0,379
698.0,380
699.0,380
700.0,380
701.0,381
702.0,381
703.0,382
704.0,382
705.0,382
706.0,382
707.0,383
708.0,384
709.0,384
710.0,384
711.0,384
712.0,385
713.0,386
714.0,386
715.0,386
716.0,387
717.0,387
718.0,387
719.0,388
720.0,388
721.0,389
722.0,389
723.0,390
724.0,390
725.0,391
726.0,392
727.0,392
728.0,393
729.0,394
730.0,394
731.0,395
732.0,396
733.0,396
734.0,397
735.0,396
736.0,396
737.0,396
738.0,397
739.0,398
