"tick","Res Queue Mean","Ser Queue Mean","Quality Mean","Rank Mean"
1.0,0.0,NaN,NaN,0.0
2.0,0.0,NaN,NaN,0.0
3.0,0.0,NaN,NaN,0.0
4.0,0.0,NaN,Infinity,0.0
5.0,0.0,NaN,Infinity,0.0
6.0,0.0,NaN,Infinity,0.0
7.0,0.0,NaN,Infinity,0.0
8.0,0.0,NaN,Infinity,0.0
9.0,0.0,NaN,Infinity,0.0
10.0,0.0,NaN,Infinity,0.06231085410228974
11.0,0.0,NaN,Infinity,0.06231085410228974
12.0,2.0,NaN,Infinity,0.06231085410228974
13.0,2.0,NaN,Infinity,0.06231085410228974
14.0,4.0,NaN,Infinity,28.806723235244952
15.0,4.0,NaN,Infinity,19.204482156829965
16.0,5.0,NaN,Infinity,18.084575740642094
17.0,10.0,NaN,Infinity,18.084575740642094
18.0,10.0,NaN,Infinity,18.084575740642094
19.0,10.0,NaN,Infinity,18.084575740642094
20.0,9.0,NaN,Infinity,18.084575740642094
21.0,9.0,NaN,Infinity,18.084575740642094
22.0,14.0,NaN,Infinity,18.084575740642094
23.0,14.0,NaN,Infinity,18.084575740642094
24.0,18.0,NaN,Infinity,18.084575740642094
25.0,18.0,NaN,Infinity,18.084575740642094
26.0,17.0,NaN,Infinity,18.084575740642094
27.0,17.0,NaN,Infinity,18.084575740642094
28.0,17.0,NaN,Infinity,18.084575740642094
29.0,17.0,NaN,Infinity,18.084575740642094
30.0,16.0,NaN,Infinity,18.135938571431726
31.0,16.0,NaN,Infinity,18.135938571431726
32.0,16.0,NaN,Infinity,18.135938571431726
33.0,16.0,NaN,Infinity,18.136041854959096
34.0,16.0,NaN,Infinity,18.136041854959096
35.0,16.0,NaN,Infinity,18.136041854959096
36.0,16.0,NaN,Infinity,18.136041855804606
37.0,16.0,NaN,Infinity,18.136041855804606
38.0,16.0,NaN,Infinity,18.136041855804606
39.0,16.0,NaN,Infinity,18.136041855804606
40.0,16.0,NaN,Infinity,18.136041855804606
41.0,16.0,NaN,Infinity,18.136041855804606
42.0,16.0,NaN,Infinity,18.136041855804606
43.0,16.0,NaN,Infinity,18.136041855804606
44.0,17.0,NaN,Infinity,18.136041855804606
45.0,17.0,NaN,Infinity,18.136041855804606
46.0,17.0,NaN,Infinity,18.136041855804606
47.0,17.0,NaN,Infinity,18.136041855804606
48.0,17.0,NaN,Infinity,18.136041855804606
49.0,17.0,NaN,Infinity,18.136041855804606
50.0,17.0,NaN,Infinity,18.136041855804606
51.0,17.0,NaN,Infinity,18.136041855804606
52.0,21.0,NaN,Infinity,18.136041855804606
53.0,21.0,NaN,Infinity,18.136041855804606
54.0,19.0,NaN,Infinity,18.136041855804606
55.0,19.0,NaN,Infinity,18.136041855804606
56.0,19.0,NaN,Infinity,18.136041855804606
57.0,19.0,NaN,Infinity,18.136041855804606
58.0,19.0,NaN,Infinity,18.136041855804606
59.0,19.0,NaN,Infinity,18.136041855804606
60.0,19.0,NaN,Infinity,18.136041855804606
61.0,19.0,NaN,Infinity,18.136041855804606
62.0,19.0,NaN,Infinity,18.136041855804606
63.0,19.0,NaN,Infinity,18.136041855804606
64.0,19.0,NaN,Infinity,18.136041855804606
65.0,19.0,NaN,Infinity,18.136041855804606
66.0,19.0,NaN,Infinity,18.136041855804606
67.0,21.0,NaN,Infinity,18.136041855804606
68.0,21.0,NaN,Infinity,18.136041855804606
69.0,21.0,NaN,Infinity,18.136041855804606
