"tick","Task"
1.0,0
2.0,0
3.0,0
4.0,10
5.0,10
6.0,10
7.0,10
8.0,10
9.0,10
10.0,19
11.0,19
12.0,18
13.0,28
14.0,27
15.0,26
16.0,24
17.0,23
18.0,23
19.0,33
20.0,32
21.0,31
22.0,40
23.0,39
24.0,38
25.0,38
26.0,38
27.0,37
28.0,36
29.0,33
30.0,33
31.0,42
32.0,42
33.0,50
34.0,60
35.0,58
36.0,58
37.0,58
38.0,57
39.0,57
40.0,57
41.0,57
42.0,57
43.0,56
44.0,56
45.0,56
46.0,56
47.0,56
48.0,56
49.0,56
50.0,56
51.0,56
52.0,56
53.0,56
54.0,55
55.0,55
56.0,55
57.0,55
58.0,55
59.0,55
60.0,55
61.0,65
62.0,65
63.0,65
64.0,64
65.0,74
66.0,74
67.0,73
68.0,73
69.0,83
70.0,83
71.0,83
72.0,83
73.0,82
74.0,82
75.0,81
76.0,81
77.0,81
78.0,81
79.0,90
80.0,90
81.0,90
82.0,90
83.0,89
84.0,88
85.0,87
86.0,87
87.0,87
88.0,87
89.0,86
90.0,85
91.0,83
92.0,82
93.0,82
94.0,82
95.0,81
96.0,80
97.0,77
98.0,76
99.0,74
100.0,71
101.0,71
102.0,70
103.0,68
104.0,68
105.0,65
106.0,61
107.0,60
108.0,60
109.0,59
110.0,68
111.0,68
112.0,68
113.0,66
114.0,65
115.0,65
116.0,65
117.0,65
118.0,64
119.0,64
120.0,63
121.0,62
122.0,62
123.0,82
124.0,82
125.0,81
126.0,80
127.0,78
128.0,75
129.0,74
130.0,73
131.0,83
132.0,83
133.0,83
134.0,83
135.0,81
136.0,81
137.0,80
138.0,78
139.0,77
140.0,77
141.0,76
142.0,76
143.0,75
144.0,75
145.0,75
146.0,74
147.0,74
148.0,73
149.0,72
150.0,72
151.0,71
152.0,69
153.0,69
154.0,69
155.0,69
156.0,69
157.0,69
158.0,69
159.0,68
160.0,67
161.0,67
162.0,67
163.0,67
164.0,67
165.0,65
166.0,64
167.0,64
168.0,64
169.0,64
170.0,64
171.0,63
172.0,61
173.0,60
174.0,58
175.0,58
176.0,58
177.0,58
178.0,58
179.0,58
180.0,58
181.0,58
182.0,57
183.0,56
184.0,55
185.0,65
186.0,65
187.0,65
188.0,65
189.0,64
190.0,64
191.0,63
192.0,63
193.0,62
194.0,62
195.0,62
196.0,62
197.0,62
198.0,62
199.0,62
200.0,62
201.0,62
202.0,62
203.0,62
204.0,61
205.0,61
206.0,61
207.0,60
208.0,60
209.0,60
210.0,60
211.0,59
212.0,59
213.0,59
214.0,59
215.0,68
216.0,68
217.0,67
218.0,67
219.0,67
220.0,67
221.0,67
222.0,67
223.0,67
224.0,67
225.0,66
226.0,66
227.0,66
228.0,65
229.0,65
230.0,65
231.0,65
232.0,65
233.0,85
234.0,84
235.0,83
236.0,93
237.0,93
238.0,93
239.0,91
240.0,88
241.0,87
242.0,87
243.0,86
244.0,86
245.0,86
246.0,83
247.0,82
